Date,IPG
1997-07-01,88.7168
1997-08-01,88.0487
1997-09-01,82.1801
1997-10-01,77.7266
1997-11-01,82.2802
1997-12-01,92.3623
1998-01-01,95.0701
1998-02-01,88.0838
1998-03-01,86.8125
1998-04-01,76.9828
1998-05-01,78.2652
1998-06-01,86.7123
1998-07-01,94.1078
1998-08-01,93.7954
1998-09-01,87.7915
1998-10-01,80.3296
1998-11-01,81.6742
1998-12-01,91.9551
1999-01-01,102.4467
1999-02-01,91.4671
1999-03-01,91.0236
1999-04-01,80.7497
1999-05-01,79.6373
1999-06-01,88.1204
1999-07-01,97.7757
1999-08-01,96.7014
1999-09-01,87.4885
1999-10-01,80.8647
1999-11-01,82.4395
1999-12-01,94.7746
2000-01-01,102.4971
2000-02-01,94.5218
2000-03-01,88.3463
2000-04-01,81.6662
2000-05-01,84.7235
2000-06-01,91.3293
2000-07-01,96.3011
2000-08-01,99.6734
2000-09-01,90.9515
2000-10-01,83.378
2000-11-01,88.2458
2000-12-01,102.6901
2001-01-01,109.3416
2001-02-01,97.3953
2001-03-01,93.0564
2001-04-01,83.1332
2001-05-01,82.7827
2001-06-01,90.6648
2001-07-01,96.3283
2001-08-01,99.8132
2001-09-01,88.5136
2001-10-01,82.9006
2001-11-01,83.1461
2001-12-01,93.2796
2002-01-01,103.2604
2002-02-01,95.4593
2002-03-01,93.51
2002-04-01,86.0517
2002-05-01,85.5043
2002-06-01,93.4856
2002-07-01,102.6936
2002-08-01,101.9121
2002-09-01,93.5608
2002-10-01,87.1293
2002-11-01,88.8047
2002-12-01,101.0439
2003-01-01,110.4292
2003-02-01,104.0828
2003-03-01,94.8015
2003-04-01,85.3124
2003-05-01,85.7418
2003-06-01,91.3695
2003-07-01,102.5243
2003-08-01,104.7716
2003-09-01,93.1841
2003-10-01,86.7534
2003-11-01,88.828
2003-12-01,103.8162
2004-01-01,113.996
2004-02-01,106.4378
2004-03-01,95.6626
2004-04-01,86.9849
2004-05-01,89.324
2004-06-01,95.8104
2004-07-01,102.1007
2004-08-01,100.4992
2004-09-01,94.2998
2004-10-01,87.7732
2004-11-01,89.8297
2004-12-01,105.9787
2005-01-01,111.4496
2005-02-01,101.9498
2005-03-01,99.2324
2005-04-01,86.6793
2005-05-01,87.3784
2005-06-01,99.7382
2005-07-01,108.8005
2005-08-01,109.9901
2005-09-01,99.5563
2005-10-01,90.1695
2005-11-01,90.6297
2005-12-01,108.4977
2006-01-01,104.8128
2006-02-01,101.631
2006-03-01,98.6932
2006-04-01,87.7034
2006-05-01,90.2388
2006-06-01,100.7836
2006-07-01,111.3696
2006-08-01,111.9898
2006-09-01,96.1212
2006-10-01,90.6869
2006-11-01,92.5922
2006-12-01,103.3658
2007-01-01,112.3854
2007-02-01,112.1298
2007-03-01,99.469
2007-04-01,91.045
2007-05-01,92.3001
2007-06-01,101.2636
2007-07-01,107.9356
2007-08-01,114.5031
2007-09-01,101.8592
2007-10-01,93.282
2007-11-01,94.1475
2007-12-01,107.0407
2008-01-01,115.1666
2008-02-01,108.519
2008-03-01,100.7093
2008-04-01,91.2094
2008-05-01,91.4431
2008-06-01,104.1756
2008-07-01,111.08
2008-08-01,107.8943
2008-09-01,98.0097
2008-10-01,91.2397
2008-11-01,94.0321
2008-12-01,109.6583
2009-01-01,117.1041
2009-02-01,104.6585
2009-03-01,98.0044
2009-04-01,88.3217
2009-05-01,87.7293
2009-06-01,97.5535
2009-07-01,104.1673
2009-08-01,106.0048
2009-09-01,95.0942
2009-10-01,89.3811
2009-11-01,89.4576
2009-12-01,110.8777
2010-01-01,119.2473
2010-02-01,110.7525
2010-03-01,98.343
2010-04-01,86.2612
2010-05-01,90.8459
2010-06-01,104.4774
2010-07-01,113.1386
2010-08-01,113.255
2010-09-01,100.3372
2010-10-01,89.0653
2010-11-01,92.8343
2010-12-01,114.5367
2011-01-01,119.7475
2011-02-01,107.4965
2011-03-01,99.1848
2011-04-01,89.3568
2011-05-01,90.0903
2011-06-01,102.9273
2011-07-01,114.9326
2011-08-01,113.765
2011-09-01,99.5821
2011-10-01,90.3241
2011-11-01,93.7486
2011-12-01,107.3309
2012-01-01,111.8351
